sample_id,group
pver_150,1
pver_118,1
pver_107,1
E2B_B-15M-CB-087,1
pver_96,1
pver_106,1
pver_70,1
pver_104,1
pver_101,1
pver_100,1
pver_93,1
pver_103,1
pver_95,1
pver_94,1
pver_85,1
pver_142,1
pver_90,1
E2B_B-15M-CB-080,1
pver_98,1
pver_144,1
pver_86,1
pver_48,1
pver_35,1
pver_102,1
pver_91,1
pver_110,1
pver_152,1
pver_87,1
pver_153,1
pver_49,1
pver_143,1
pver_89,1
pver_105,1
pver_80,1
pver_154,1
pver_47,1
pver_97,1
pver_88,1
pver_92,1
pver_82,1
pver_146,1
E2B_B-5M-CB-113,1
pver_99,1
pver_68,2
pmea_132,2
pmea_155,2
pmea_137,2
pmea_131,2
pmea_145,2
pmea_133,2
pmea_116,2
pmea_134,2
E2B_B-15M-CB-077,2
pmea_123,2
TIA_UB-15M-CB-371,2
pmea_138,2
pver_46,2
pmea_122,2
pver_75,2
E2B_UB-15M-CB-061,2
pver_108,3
pver_78,3
pver_77,3
pver_40,3
pver_33,3
pver_81,3
pver_76,3
pver_83,3
pver_84,3
pver_71,3
pver_42,3
E2B_B-5M-CB-108,3
pver_37,3
pver_73,3
pver_50,3
pver_72,3
E2B_B-15M-CB-078,3
TIA_B-15M-CB-376,3
pver_74,3
pver_38,4
pver_51,4
pver_45,4
E2B_UB-5M-CB-091,4
pmea_126,4
pver_39,4
pmea_117,4
pver_44,4
pver_59,4
pmea_121,4
pver_55,4
pver_52,4
pmea_111,4
pver_58,4
pver_69,4
pmea_124,4
pver_41,4
pmea_129,4
pver_36,4
TIA_UB-5M-CB-394,4
pver_53,4
pver_56,4
pver_60,4
pver_34,4
pmea_120,4
pver_61,4
pmea_151,4
pmea_148,4
pmea_119,4
pver_57,4
pver_43,4
E2B_UB-15M-CB-068,4
pmea_140,4
pver_109,4
pmea_113,4